נושא,תאור הנושא
6000,אנגלית טרום בסיסי
6001,אנגלית בסיסי (מתחילים)
6002,אנגלית מתקדמים א' (בינוניים)
6003,אנגלית מתקדמים ב' (מתקדמים)
10006,מבוא למדעי המחשב
10007,מערכות ספרתיות
10010,מבוא לתכנות מערכות
10013,תקשורת מחשבים לתוכנה
10110,מערכות משובצות מחשב
10117,מבני נתונים
10118,תכנות מונחה עצמים
10119,תיכון מונחה עצמים
10120,תכנון וניתוח אלגוריתמים
10121,אלגוריתם מתקדם
10124,ארכיטקטורת מחשבים ושפת סף Assembly
10127,בסיסי נתונים
10140,כלי פיתוח
10141,הנדסת תוכנה אינטגרטיבית
10206,תורת המידע
10207,בינה מלאכותית
10211,שפות תכנות
10212,תכנות ברשת NET
10213,הנדסת דרישות
10214,שיטות בהנדסת תוכנה
10215,מודלים חישוביים
10216,סדנא בתכנות מונחה עצמים עם C++
10219,פיתוח מתקדם לסלולר
10220,פיתוח משחקים
10224,מבוא לראייה ממוחשבת
10227,אבטחת סייבר
10228,סייבר-אבטחת רשתות תקשורת
10229,סייבר-היבטים ניהוליים ואתיים
10230,למידה חישובית
10231,סדנת יזמות וקידום מוצרים דיגיטליים
10233,פיתוח מאובטח
10235,ממשקי אדם מחשב -HCI
10236,תכנות בלי באגים
10237,ניתוח רשתות חברתיות
10239,פיתוח במציאות מדומה
10240,רשתות נוירונים ולמידה עמוקה
10303,מערכות הפעלה
10310,טכנולוגיות אינטרנט
10313,אבטחת מידע
10324,מחשוב מקבילי ומבוזר
10325,הבטחת איכות תוכנה
10334,קומפילציה
10336,יישומי מחשב בהנדסה MATLAB
10337,רשתות תקשורת ודיבור
10340,סדנא בבסיסי נתונים ORACLE
10341,סדנא במערכות הפעלה UNIX & LINUX
10342,גרפיקה ממוחשבת
10345,יישומי סלולר
10346,מתודולוגיות תכנות Agile
10347,מערכות בסיסי נתונים מבוזרות
10350,סמינר מתקדם בחישוב מקבילי
10352,סמינר בסייבר
10353,מחשוב בענן
10354,בלוקצ'יין חזון ופרקטיקה
10400,סמינר בהנדסת תוכנה
10407,ליווי פרוייקטי גמר בהנדסת תוכנה
10801,מבוא לתכנות
10803,תכנות ותיכון מונחה עצמים
10804,אלגוריתמים ומבנה נתונים
10811,מבוא לתכנות ושפת C
10812,מבוא לתכנות פייתון
10820,תכנות מונחה עצמים++C
10823,מבוא לתכנות ג'אבה
20106,מערכות ספרתיות
20115,מבוא לתקשורת
20117,מבוא לתהליכים אקראיים
20118,מבוא לבקרה
20120,סדנה ליישומי מחשב בהנדסה MATLAB
20132,התקני מוליכים למחצה
20133,מעבדת מערכות ספרתיות
20134,שדות וגלים אלקטרומגנטיים
20135,מעבדת בקרה
20137,הנדסת חשמל 2
20138,מבוא לאותות ומערכות
20139,מבוא לעיבוד ספרתי של אותות
20140,מעבדת חשמל
20141,הנדסת חשמל 1
20144,מבנה מחשבים
20145,מיקרו מעבדים ומיקרו בקרים
20146,שפת תאור חומרה VHDL
20207,"מעבדה ותיב""ם מעגלים אנלוגיים"
20209,מעבדה מתקדמת בתכן חומרה
20210,יישומי מחשב להנדסת אלקטרוניקה
20211,תכן מערכות ספרתיות מהירות
20216,תכן חומרה מתקדם
20304,אלקטרוניקה ספרתית
20309,תקשורת ספרתית
20315,עיבוד ספרתי של אותות
20317,רשתות תקשורת
20324,עיבוד וידאו מולטימדיה
20326,מעבדה מתקדמת בתקשורת
20327,מעבדה מתקדמת בעיבוד תמונה
20332,מבוא לעיבוד תמונה
20336,עיבוד אותות בזמן אמת
20337,עיבוד אותות אקראים
20338,מעבדה מתקדמת בעיבוד ספרתי של אותות
20339,עקרונות זיהוי דיבור
20342,עיבוד ספרתי של תמונה
20346,רכיבי רדיו ומיקרוגלים
20347,אנטנות בתקשורת
20349,מעגלים אלקטרוניים אנלוגיים2
20351,ייצור והמרת אנרגיה
20353,מערכות הספק א'
20354,מערכות הספק ב'
20359,מתקנים ורשתות  למתח גבוה
20360,מתקני מתח נמוך
20363,מערכות תקשורת אלחוטית
20367,מעבדה לאלקטרוניקה ספרתית
20368,מעבדת תקשורת
20370,מתודולוגיה תכן וטכנולוגיה VLSI
20371,מעבדת מעגלים אנלוגיים2
20372,קוי תמסורת מיקרו-גלים וקרינה
20373,מעגלים אלקטרוניים אנלוגיים1
20375,"מבוא למערכות מכ""ם"
20376,ניווט רדיו
20377,מעבדה לאלקטרוניקת הספק
20378,הגנות מפני נחשולי מתח וזרם
20379,מעבדה להמרת אנרגיה
20380,אלקטרוניקת הספק
20381,הינע חשמלי ואלקטרוני
20382,מבוא למערכות פוטו-וולטאיות
